"category_name","product_name","unit_price","average_unit_price","median_unit_price","average_unit_price_position","median_unit_price_position"
"Produce","Rössle Sauerkraut",45.6,32.37,30.00,"Over Average","Over Median"
"Produce","Tofu",23.25,32.37,30.00,"Below Average","Below Median"
"Produce","Uncle Bob's Organic Dried Pears",30,32.37,30.00,"Below Average","Median"
"Seafood","Boston Crab Meat",18.4,20.68,16.70,"Below Average","Over Median"
"Seafood","Carnarvon Tigers",62.5,20.68,16.70,"Over Average","Over Median"
"Seafood","Escargots de Bourgogne",13.25,20.68,16.70,"Below Average","Below Median"
"Seafood","Gravad lax",26,20.68,16.70,"Over Average","Over Median"
"Seafood","Ikura",31,20.68,16.70,"Over Average","Over Median"
"Seafood","Inlagd Sill",19,20.68,16.70,"Below Average","Over Median"
"Seafood","Jack's New England Clam Chowder",9.65,20.68,16.70,"Below Average","Below Median"
"Seafood","Konbu",6,20.68,16.70,"Below Average","Below Median"
"Seafood","Nord-Ost Matjeshering",25.89,20.68,16.70,"Over Average","Over Median"
"Seafood","Röd Kaviar",15,20.68,16.70,"Below Average","Below Median"
"Seafood","Rogede sild",9.5,20.68,16.70,"Below Average","Below Median"
"Seafood","Spegesild",12,20.68,16.70,"Below Average","Below Median"
